Date,UNETOT_PT_ea-md,UNEO25_PT_ea-md,UNEU25_PT_ea-md,REER42_PT_ea-md,LTIRT_PT_ea-md,IPMN_PT_ea-md,IPCAG_PT_ea-md,IPCOG_PT_ea-md,IPDCOG_PT_ea-md,IPNDCOG_PT_ea-md,IPING_PT_ea-md,IPNRG_PT_ea-md,TRNMN_PT_ea-md,TRNCAG_PT_ea-md,TRNCOG_PT_ea-md,TRNDCOG_PT_ea-md,TRNNDCOG_PT_ea-md,TRNING_PT_ea-md,TRNNRG_PT_ea-md,HICPOV_PT_ea-md,HICPNEF_PT_ea-md,HICPG_PT_ea-md,HICPIN_PT_ea-md,HICPSV_PT_ea-md,HICPNG_PT_ea-md,ICONFIX_PT_ea-md,CCONFIX_PT_ea-md,ESENTIX_PT_ea-md,KCONFIX_PT_ea-md,RTCONFIX_PT_ea-md,SCONFIX_PT_ea-md,BCI_PT_ea-md,CCI_PT_ea-md,SHIX_PT_ea-md,GDP_PT_ea-qd,EXPGS_PT_ea-qd,IMPGS_PT_ea-qd,GFCE_PT_ea-qd,HFCE_PT_ea-qd,CONSD_PT_ea-qd,GCF_PT_ea-qd,GFCF_PT_ea-qd,GFACON_PT_ea-qd,GFAMG_PT_ea-qd,GNFCPS_PT_ea-qd,GNFCIR_PT_ea-qd,GHIR_PT_ea-qd,GHSR_PT_ea-qd,TEMP_PT_ea-qd,EMP_PT_ea-qd,SEMP_PT_ea-qd,THOURS_PT_ea-qd,EMPAG_PT_ea-qd,EMPIN_PT_ea-qd,EMPMN_PT_ea-qd,EMPCON_PT_ea-qd,EMPRT_PT_ea-qd,EMPIT_PT_ea-qd,EMPFC_PT_ea-qd,EMPRE_PT_ea-qd,EMPPR_PT_ea-qd,EMPPA_PT_ea-qd,EMPENT_PT_ea-qd,RPRP_PT_ea-qd,WS_PT_ea-qd,ESC_PT_ea-qd,TASS.SDB_PT_ea-qd,TASS.LBD_PT_ea-qd,TASS.SLN_PT_ea-qd,TASS.LLN_PT_ea-qd,TLB.SDB_PT_ea-qd,TLB.LBD_PT_ea-qd,TLB.SLN_PT_ea-qd,TLB.LLN_PT_ea-qd,NFCASS_PT_ea-qd,NFCASS.SLN_PT_ea-qd,NFCASS.LLN_PT_ea-qd,NFCLB_PT_ea-qd,NFCLB.SLN_PT_ea-qd,NFCLB.LLN_PT_ea-qd,GGASS_PT_ea-qd,GGASS.LLN_PT_ea-qd,GGLB_PT_ea-qd,GGLB.SLN_PT_ea-qd,GGLB.LLN_PT_ea-qd,HHASS_PT_ea-qd,HHASS.LLN_PT_ea-qd,HHLB_PT_ea-qd,HHLB.SLN_PT_ea-qd,HHLB.LLN_PT_ea-qd,ULCIN_PT_ea-qd,ULCMQ_PT_ea-qd,ULCMN_PT_ea-qd,ULCCON_PT_ea-qd,ULCRT_PT_ea-qd,ULCFC_PT_ea-qd,ULCRE_PT_ea-qd,ULCPR_PT_ea-qd,DFGDP_PT_ea-qd,INDPRO_fred-md,IPFINAL_fred-md,IPCONGD_fred-md,AWOTMAN_fred-md,AWHMAN_fred-md,FEDFUNDS_fred-md,GS1_fred-md,GS5_fred-md,GS10_fred-md,AAA_fred-md,BAA_fred-md,CUSR0000SAC_fred-md,PCEPI_fred-md,S&P 500_fred-md,epu_pt_epu,unemployment_up_15_unemployment,exchange_exchange,PPIPT_ppi,inflation_target,OILPRICEx_fred-md_Eur
2000-01-01,5.6,4.4,12.7,96.14621,5.81,123.5,191.3,118.0,129.6,116.5,114.8,93.1,71.1,69.6,80.8,92.3,79.2,70.3,55.1,57.5,62.77,63.98,72.89,49.68,42.21,7.3,-2.4,113.9,-15.8,9.4,10.3,102.2262,102.388,110.4053,44401.82074234394,10077.178747458409,13188.079754143595,7346.373037199688,28123.500000000022,3500.360610029268,10979.98731268799,11059.472070679525,7981.87277497325,2596.0279404943094,38.681853969994954,23.40024212444231,13.143971893497072,11.343173771830685,4985.488521510307,3992.101675324399,1012.5470293446826,2401343.087599202,628.938494072478,1098.423633470019,1034.396134667993,559.2321688482809,1032.5858353759982,56.90636638176872,89.16835824232207,24.338823220471056,353.1350350651794,900.3062227696902,251.4766804474227,90.73090382322657,11947.894079051619,2845.605091854242,13708.727450705992,78284.44834496628,46248.37403819291,119169.45718514541,6260.294352710776,82944.62075395157,41345.63733975731,132278.45763656864,165280.1984728332,961.2182687887293,13206.944819836754,308118.6451762421,28398.568521140405,62731.41148261035,36218.635733801515,1532.0868565008752,88648.92778759482,1031.5648955396216,5166.320795655422,209671.88274599466,7616.695306044242,72228.44234100508,6675.252077693394,57593.525389634495,64.45997196680636,72.23711181366546,64.6423705709073,68.22189855705454,71.96525418385785,74.78043198508378,78.44434972028945,66.4422953161875,72.00311051565015,91.538,97.2486,103.6324,4.9,41.5,5.45,6.12,6.58,6.66,7.78,8.33,146.7,72.961,1425.59,107.0962010943167,5.6,0.9791,21.5,2.1,27.76018792768869
2000-02-01,5.4,4.1,13.0,95.12462,5.78,122.7,177.4,119.8,131.1,118.2,116.2,95.3,77.2,80.2,87.1,99.8,85.4,77.7,52.0,57.34,62.51,63.59,72.08,49.94,42.29,8.9,-3.0,116.7,-5.6,11.0,14.2,102.5146,102.247,124.9385,43940.3539153466,10109.284563162948,13223.839430802758,7365.505634742279,28123.500000000022,3516.677415392092,10979.717439816557,11079.104388997308,7627.810498499662,2620.810120210593,38.556584941749925,25.274580759834123,13.127206148277898,11.546086970055988,4992.013370285346,3996.5090990213057,1005.1718600863533,2400649.2562283208,624.5777053538047,1096.7134218455342,1031.3569517504338,562.7139866899627,1033.142052538611,56.86741764068365,91.36972080086085,25.51323857911839,353.8420268037001,899.7987437203534,251.47175099599673,89.90374049553849,12014.927482470594,2858.4245667987425,13708.059275265148,78983.2239600221,46876.39374503291,119207.01500846274,6361.760586123265,83386.63242472874,42016.793500140906,133064.67241105545,165912.1349853164,899.4027018577344,13595.205226908063,309064.41747428005,28679.928588583956,61851.0027541096,36583.31391085967,1545.5839759314808,89330.12703198145,1018.4464007346146,5180.586605853645,212043.5109290464,7101.696302356208,72713.8710274766,6721.671082982661,58447.35358464916,64.59027416302118,72.36007178400764,64.78811998835195,68.37066833098575,72.0713077412218,74.79824080971689,78.09436850869447,66.24780775954716,72.2086629008277,91.8239,97.777,104.3269,5.0,41.5,5.73,6.22,6.68,6.52,7.68,8.29,147.6,73.191,1388.87,105.5398778508387,5.4,0.9714,21.9,1.8,30.214123944821907
2000-03-01,5.3,4.0,12.4,94.49293,5.61,116.5,164.6,116.5,124.8,115.3,114.2,85.7,83.9,75.0,97.2,106.7,95.9,86.5,59.3,57.45,62.67,63.62,72.22,50.1,42.41,7.7,-3.2,116.2,-0.1,11.7,11.9,102.6476,101.9521,128.3406,43450.6,10151.5,13257.6,7387.6,28123.5,3524.1,10981.3,11097.5,7270.5,2634.3,38.37,28.05,13.09,11.82,4999.79,4001.43,998.36,2402305.0,622.62,1094.05,1027.21,566.73,1033.47,57.23,93.68,26.7,354.6,899.26,251.47,88.957,12084.3,2891.6,13735.5,79713.1,47668.0,119131.8,6545.5,83772.7,42933.7,133890.8,166552.1,834.4,14004.0,310055.4,29066.2,61001.9,36979.3,1559.2,89960.5,991.2,5177.8,214400.9,6576.3,73355.2,6782.5,59309.7,64.8,72.51049461310191,64.90855624714449,68.52037750985129,72.2,74.92201733861695,77.63059052299091,65.72774502227935,72.43,92.1504,97.7824,103.8262,4.7,41.4,5.85,6.22,6.5,6.26,7.68,8.37,149.1,73.505,1442.21,68.84414978390637,5.3,0.9553,21.2,1.5,31.288600439652463
2000-04-01,5.2,3.9,12.8,94.90064,5.52,115.5,159.3,118.0,125.3,117.0,112.1,94.8,70.4,65.1,79.6,91.8,77.9,72.7,50.2,58.09,63.15,64.6,73.69,50.3,44.71,8.8,-9.2,114.1,-13.5,6.1,13.2,102.7988,101.5175,115.6546,43140.69379392487,10115.479347826087,13266.566666666668,7416.173913043478,28123.5,3405.6666666666665,11018.166666666666,10971.866666666667,7053.913099813861,2624.4452708018425,38.186870096727354,30.560226743990377,12.836666666666666,12.119995793717576,5006.930108695652,4007.828804347826,994.9533095777585,2399703.3333333335,624.1430434782609,1091.1320404977287,1023.2825559685457,571.3666666666667,1029.9791304347825,56.74714572727559,95.16346204828196,27.577676113824946,356.2780434782609,901.9219565217392,252.07315217391303,88.28225569925638,12114.727173913043,2935.668835986633,13825.407642585817,80052.14565217393,49145.01521739131,119513.88244156788,6757.157186967655,83573.09999999999,44502.9,135068.43602558723,165935.09891304348,804.7770722107692,13503.033333333333,310076.2913043479,29549.033333333333,60633.44475032313,36716.23804347827,1559.2,89721.8,966.6088342185831,5171.016862099759,216241.74005770354,6137.312939414448,73706.3,6819.548399865026,60203.066666666666,64.70311068850981,72.67894442605322,65.09665147867447,68.67453573955355,71.99782608695652,74.90873338608792,77.36336082569576,65.20387011132438,72.74842391304348,92.6989,98.4993,104.5856,4.8,41.6,6.02,6.15,6.26,5.99,7.64,8.4,148.5,73.444,1461.36,70.29277764705489,5.2,0.9085,20.0,2.1,28.332416070445788
2000-05-01,5.3,4.0,13.1,94.9676,5.68,120.8,171.0,121.0,127.9,120.2,115.1,107.5,83.2,79.9,92.1,110.3,89.6,86.6,60.2,58.47,63.79,64.99,74.49,50.68,44.85,10.1,-8.0,113.3,-3.7,1.5,6.0,102.8972,101.2843,112.0247,43067.108652588315,10080.620652173913,13275.533333333333,7443.826086956522,27739.6,3287.2333333333336,11055.033333333333,10846.233333333334,6974.559312287506,2594.5621136149607,38.04738143196263,31.998270222251247,12.583333333333334,12.400858469362857,5013.8398913043475,4014.021195652174,996.0468350373744,2397101.6666666665,625.6169565217391,1089.259414574669,1021.3325924963282,576.0033333333333,1026.6008695652174,56.69290732535187,95.57659534694345,28.01618081592161,357.9019565217391,904.4980434782608,252.65684782608696,88.00074647591354,12144.172826086957,2980.5430578664946,13955.094859052486,80380.25434782609,50574.38478260869,120597.64118496353,6932.279492118988,83373.5,46072.1,136414.747333022,165338.00108695653,821.097483706934,13002.066666666668,310096.50869565224,30031.86666666667,60824.73661351453,36461.66195652174,1608.7,89483.09999999999,955.71865869257,5165.728173095744,217375.58751780208,5834.467455654479,74057.4,6850.612642325417,61096.433333333334,64.58350848046464,72.81563686010955,65.27213731745684,68.82437352161489,71.80217391304348,74.95647786868278,77.48622662263872,65.16723559148417,73.05657608695653,92.9499,98.7402,104.6861,4.7,41.2,6.27,6.33,6.69,6.44,7.99,8.9,148.5,73.505,1418.48,78.4516662742197,5.3,0.9303,17.9,2.5,30.936257121358704
2000-06-01,5.2,4.0,13.0,96.3142,5.54,120.5,167.1,120.4,128.4,119.4,113.7,97.3,85.4,87.6,95.2,104.6,93.9,84.6,65.5,58.79,63.99,65.35,74.63,50.92,45.02,8.6,-9.3,111.7,-11.0,8.2,5.6,102.8114,101.1673,114.8515,43162.5,10044.6,13284.5,7472.4,27739.6,3168.8,11091.9,10720.6,6990.1,2556.1,37.93,32.46,12.33,12.67,5020.98,4020.42,1000.56,2394500.0,627.14,1089.01,1021.52,580.64,1023.11,57.56,95.33,28.19,359.58,907.16,253.26,87.995,12174.6,3027.7,14118.2,80719.3,52051.4,122247.1,7060.5,83173.9,47641.3,137940.6,164721.0,861.2,12501.1,310117.4,30514.7,61383.4,36198.6,1608.7,89244.4,953.0,5162.4,218147.6,5615.0,74408.5,6882.3,61989.8,65.6,72.93567207153262,65.47479678340353,68.9780905658084,71.6,74.95026863550498,78.165044150391,65.89922782922939,73.375,92.9862,98.8227,104.7488,4.7,41.3,6.53,6.17,6.3,6.1,7.67,8.48,149.6,73.754,1461.96,74.86429654141119,5.2,0.9556,17.2,2.9,33.3089158643784
2000-07-01,5.3,4.0,12.9,96.41738,5.61,120.5,169.7,118.0,134.3,115.9,109.7,103.7,87.0,84.1,100.9,110.1,99.6,84.1,70.5,59.05,64.22,65.54,74.62,51.3,45.12,8.0,-8.4,114.4,0.3,5.8,11.3,102.7406,101.1257,114.1473,43360.92136212597,10146.926086956522,13255.9,7499.595652173913,27739.6,3197.4,11060.5,10808.533333333333,7064.0673936497915,2523.6456199864792,37.83058740143257,31.91562705931735,12.34,12.89922811278906,5033.795217391304,4026.2471739130433,1006.9795509966063,2410015.6666666665,631.1932608695653,1088.701344541943,1022.129087562854,582.8233333333334,1027.7371739130435,56.59171489314392,94.80625720220745,28.226958316893306,360.64630434782606,907.476304347826,253.51108695652172,88.17090426919958,12284.230434782608,3079.2903608904257,14379.619429303633,82019.5391304348,52977.87826086957,124157.11321581028,7142.660560265425,84052.53333333333,48125.53333333333,139472.07602814076,166568.25,900.2426336973248,12815.866666666667,312456.38913043484,30876.9,62077.03850664083,37107.01304347826,1608.7,89634.23333333332,965.3187026271868,5160.637004754016,218766.00673547926,5461.720409973643,75359.43333333333,6905.074023765527,62844.6,64.51154167415602,73.11855394145881,65.5532487691595,69.10756284064453,71.20869565217392,74.73349510119043,79.07149927369593,67.10065209963436,73.57391304347826,92.8048,98.7151,104.1741,4.7,41.5,6.54,6.08,6.18,6.05,7.65,8.35,149.8,73.939,1473.0,53.39496238369802,5.3,0.9243,17.0,3.3,32.20815752461322
2000-08-01,5.4,4.2,12.5,95.52635,5.57,123.0,175.6,119.7,132.6,118.0,115.8,114.2,65.0,57.0,76.0,69.6,76.7,59.3,73.5,59.11,64.02,65.51,74.11,51.44,45.23,9.9,-8.9,113.5,-5.2,5.0,5.7,102.75,101.0231,112.1325,43613.17539913091,10252.66304347826,13227.300000000001,7527.697826086956,28054.5,3226.0,11029.1,10896.466666666667,7164.345054621119,2508.8319205306716,37.730281368301,30.539286629281,12.35,13.092512476603787,5047.037608695652,4032.2685869565216,1014.6371820105513,2425531.3333333335,635.3816304347827,1090.1598584117398,1024.44724040019,585.0066666666667,1032.5185869565216,56.544986870645424,94.35350865115096,28.27477190129794,361.74815217391307,907.8031521739131,253.77054347826086,88.4414811863769,12397.515217391305,3136.559748112591,14711.100391596437,83363.1195652174,53935.239130434784,126246.51301674976,7218.745491537511,84931.16666666667,48609.76666666667,141032.37049737168,168477.07499999998,917.5789651238244,13130.633333333333,314873.34456521744,31239.1,62746.76632009276,38045.706521739135,1643.7,90024.06666666667,996.3143379748774,5159.311443075099,219541.60262896947,5331.919268063248,76310.36666666667,6918.964480163454,63699.4,64.55465048739273,73.37253064546606,65.65077956492544,69.26697995275046,70.80434782608695,74.91997990436977,79.84028170985236,67.92428685889746,73.77945652173914,92.5521,98.2411,103.7225,4.6,41.1,6.5,6.18,6.06,5.83,7.55,8.26,149.2,73.934,1485.46,43.03605990452814,5.4,0.8906,14.6,3.5,35.05501908825511
2000-09-01,5.4,4.2,12.6,94.48012,5.63,126.0,172.7,125.8,132.7,124.9,116.1,116.1,86.6,87.8,97.0,110.2,95.2,83.8,73.7,59.05,64.13,65.34,74.16,51.56,45.23,7.3,-11.1,111.8,-4.1,4.1,6.3,102.6892,100.847,113.2955,43849.9,10358.4,13198.7,7555.8,28054.5,3254.6,10997.7,10984.4,7251.2,2525.8,37.62,29.68,12.36,13.23,5060.28,4038.29,1021.99,2441047.0,639.57,1091.18,1026.31,587.19,1037.3,57.18,94.38,28.48,362.85,908.13,254.03,88.702,12510.8,3184.4,14895.7,84706.7,54892.6,128242.6,7300.7,85809.8,49094.0,142489.9,170385.9,887.9,13445.4,317290.3,31601.3,63160.2,38984.4,1643.7,90413.9,1034.2,5158.8,220730.0,5197.8,77261.3,6937.8,64554.2,63.8,73.58513219572845,65.74674079675161,69.41360332905037,70.4,75.50096418625748,79.6856513381914,67.61377297803132,73.985,92.9792,99.0004,104.6846,4.6,41.1,6.52,6.13,5.93,5.8,7.62,8.35,150.4,74.252,1468.05,54.404882706121,5.4,0.8765,12.8,3.4,38.65373645179693
2000-10-01,5.2,4.0,12.3,94.1576,5.58,124.2,176.1,121.4,131.5,120.1,112.5,108.8,90.5,88.4,100.0,113.8,98.1,88.2,81.3,59.22,64.43,65.64,74.73,51.59,45.31,9.0,-10.8,113.0,-10.9,3.4,6.7,102.7328,100.7122,106.686,44012.93041052815,10482.817582417581,13333.800000000001,7581.250549450549,28054.5,3266.0,11049.033333333335,10991.4,7290.539840669296,2577.982191144161,37.49340019911126,29.56869505355217,12.276666666666666,13.292499524009482,5068.890989010989,4043.5713186813186,1028.0052333364215,2442481.3333333335,642.7513186813187,1096.4950669096697,1031.38855321567,585.8133333333334,1043.7846153846153,56.46234652111353,95.04216768165448,28.89560709669771,362.56318681318686,904.0453846153846,253.4267032967033,88.85976876928365,12575.283516483516,3213.257916800238,14929.863516400352,84377.98571428572,57094.830769230764,129964.4301180395,7391.880501694482,86112.73333333334,50551.566666666666,143753.5581193004,170757.9989010989,813.8595921551513,13457.866666666667,318439.06923076924,32343.43333333333,63202.91193364655,38969.3010989011,1643.7,92053.3,1094.4709953220158,5178.517324493032,222414.1750912572,5036.232020214005,78591.2,7217.882024539524,65546.46666666666,64.77581434196604,73.6839523616373,65.9341893887065,69.57670000078961,70.33406593406593,75.87872891004906,78.5996979691674,66.30077872997911,74.1382967032967,92.6179,98.3939,103.5703,4.6,41.1,6.51,6.01,5.78,5.74,7.55,8.34,150.1,74.353,1390.14,66.94144165714424,5.2,0.8417,13.1,3.5,39.30141380539384
2000-11-01,5.0,3.8,12.1,94.92036,5.53,123.5,167.2,122.0,130.5,120.8,115.6,114.1,93.3,91.4,104.0,116.6,102.2,90.0,84.2,59.59,64.87,66.36,75.81,51.5,45.66,9.2,-11.7,112.2,-11.7,0.0,8.1,102.6465,100.6019,102.8243,44098.72139004525,10611.382417582417,13468.9,7607.549450549451,28080.2,3277.4,11100.366666666667,10998.4,7268.842534470874,2634.0083844750925,37.33761458303437,30.08339134387423,12.193333333333333,13.23826418170321,5077.78901098901,4049.0286813186813,1031.6712314396357,2443915.6666666665,646.0386813186814,1100.6424459369587,1035.1405019870851,584.4366666666666,1050.4853846153846,56.42510582542691,95.75009455402677,29.302342794081248,362.2668131868132,899.8246153846154,252.8032967032967,88.884013543533,12641.916483516483,3230.041580402967,14952.710258876907,84038.3142857143,59370.46923076923,131754.84438186206,7490.288738576156,86415.66666666667,52009.13333333333,144974.43375763483,171142.5010989011,784.4610686727702,13470.333333333332,319626.1307692308,33085.566666666666,63127.337703268364,38953.698901098905,1814.3,93692.7,1171.18831884137,5227.778682170972,224336.23265915466,4821.412617788127,79921.1,7732.380723947688,66538.73333333334,64.94913731037354,73.76181668458065,66.107196335218,69.68624978148365,70.26593406593408,76.65258023473915,76.61363448413599,65.04395276559019,74.2967032967033,92.6438,98.6489,103.8983,4.4,41.1,6.51,6.09,5.7,5.72,7.45,8.28,150.3,74.457,1378.04,59.19295331971527,5.0,0.8684,12.1,3.7,39.61308152924919
2000-12-01,5.0,3.9,12.2,95.97925,5.28,125.9,183.9,124.0,140.4,121.8,117.7,111.2,80.9,84.7,93.5,130.2,88.6,75.2,68.0,59.81,64.94,66.71,76.03,51.5,45.89,6.9,-12.2,111.6,-7.9,-3.2,10.7,102.2936,100.5612,101.607,44097.8,10735.8,13604.0,7633.0,28080.2,3288.8,11151.7,11005.4,7176.2,2650.4,37.16,30.54,12.11,13.02,5086.4,4054.31,1032.09,2445350.0,649.22,1106.37,1039.79,583.06,1056.97,55.84,95.65,29.36,361.98,895.74,252.2,88.745,12706.4,3240.6,14960.5,83709.6,61572.7,133800.5,7582.9,86718.6,53466.7,146166.7,171514.6,914.7,13482.8,320774.9,33827.7,63267.2,38938.6,1814.3,95332.1,1207.2,5285.3,225891.3,4557.5,81251.0,8000.6,67531.0,62.9,73.95202443472934,66.2500678093747,69.72097508506333,70.2,76.46215342119713,75.1424623760364,64.98541289181871,74.45,92.3415,98.7863,104.4158,4.1,40.3,6.4,5.6,5.17,5.24,7.21,8.02,150.4,74.571,1330.93,29.69760717429995,5.0,0.9305,10.3,3.9,30.585706609349813
2001-01-01,5.1,3.8,12.5,97.88835,5.16,120.7,180.5,121.4,121.3,121.4,110.0,108.0,77.4,74.2,88.5,98.3,87.1,76.3,61.9,60.02,64.88,66.79,75.68,51.94,46.86,6.1,-12.3,113.6,-4.9,-0.3,16.5,101.7822,100.6299,103.5093,44020.967488603754,10653.615555555556,13434.466666666667,7656.077777777778,28080.2,3234.9666666666667,10943.833333333334,10829.833333333334,7014.011474335682,2599.610882266909,36.95561534969881,30.85440148270446,12.013333333333334,12.616294282658213,5094.353222222222,4064.2851111111113,1028.474388280399,2431540.3333333335,650.2808888888889,1106.4544550135215,1039.4991439923415,579.6333333333333,1064.596,56.361250614865625,94.2149650223797,28.87210397856674,363.76422222222226,900.4175555555556,252.3033333333333,88.44223194509807,12683.15,3250.7592065926983,14486.828504801097,84038.2688888889,61350.43,136409.35041636034,7631.300882191529,87610.73333333334,54361.1,147510.47963782708,173454.78666666668,1278.6219279574,13922.566666666666,323515.0933333334,34520.299999999996,63878.64622111104,39017.236666666664,1814.3,95038.8,1201.9628795610424,5361.622580059388,226842.03932863037,4239.024461475115,82473.63333333333,7771.171242017835,68338.5,65.38962621151121,74.22380090352046,66.47633913956759,69.9350788641812,70.95777777777778,77.19126626620687,74.74017886130761,66.48136751967579,74.75517777777777,91.902,98.4829,103.6644,4.2,40.7,5.98,4.81,4.86,5.16,7.15,7.93,150.6,74.932,1335.63,53.02296255295368,5.1,0.9293,5.4,4.4,31.830409986010974
2001-02-01,5.3,4.0,13.2,97.50059,5.14,119.7,177.8,120.4,120.0,120.4,109.3,110.0,74.6,75.6,87.0,92.5,86.2,72.3,54.3,60.12,64.77,66.63,74.95,52.36,46.94,3.3,-10.0,109.1,-0.5,4.0,7.1,101.116,100.7837,102.7333,43940.950247567074,10571.431111111111,13264.933333333332,7679.155555555555,28258.7,3181.1333333333337,10735.966666666667,10654.266666666666,6868.989218312788,2522.0823648337305,36.77559018145371,30.985857945544,11.916666666666666,12.207817309750988,5102.306444444444,4074.260222222222,1025.2964195772402,2417730.6666666665,651.3417777777778,1106.444846352997,1038.7297650755868,576.2066666666666,1072.222,56.33361568443566,92.18300029264924,28.130682181848677,365.54844444444444,905.0951111111111,252.40666666666667,88.13819894500566,12659.9,3260.4063622046915,13630.576186556926,84366.93777777778,61128.16,139108.12738816987,7640.268858855124,88502.86666666667,55255.5,149086.21741691566,175394.97333333333,1732.6498253764748,14362.333333333334,326255.2866666667,35212.9,64831.83174578908,39095.87333333334,3803.0,94745.5,1192.4957772290809,5458.928270505583,227419.3666171526,3984.714570230094,83696.26666666666,7343.243650838142,69146.0,65.65565556387895,74.44582670943994,66.71539691762887,69.97662923936076,71.71555555555555,75.56839510969291,76.88534413878543,68.85818416190172,75.06035555555556,91.3034,97.9612,103.0614,4.0,40.5,5.49,4.68,4.89,5.1,7.1,7.87,150.8,75.048,1305.75,28.95032040905574,5.3,0.9248,5.2,4.8,32.017733564013845
2001-03-01,5.4,4.0,13.3,97.49627,5.09,124.9,193.7,124.6,125.3,124.5,111.4,120.9,87.2,93.5,100.0,108.1,98.8,83.9,61.8,60.37,64.94,66.94,75.03,52.55,46.96,0.4,-10.0,106.5,-2.0,4.3,7.5,100.5221,100.8458,97.49754,43939.8,10497.2,13095.4,7700.0,28258.7,3127.3,10528.1,10478.7,6839.5,2474.3,36.68,30.85,11.82,12.02,5109.49,4083.27,1026.23,2403921.0,652.3,1102.45,1034.62,572.78,1079.11,55.54,90.73,27.6,367.16,909.32,252.5,88.028,12638.9,3268.6,13233.0,84663.8,60927.4,141160.8,7674.3,89395.0,56149.9,150811.0,177147.4,2057.7,14802.1,328730.3,35905.5,65797.4,39166.9,3803.0,94452.2,1188.1,5546.0,227995.8,3920.5,84918.9,7130.9,69953.5,67.5,74.6,67.0,70.3,72.4,74.0,80.3,70.9,75.336,91.1162,97.878,103.011,4.1,40.5,5.31,4.3,4.64,4.89,6.98,7.84,150.5,75.055,1185.85,44.64345371973538,5.4,0.8832,4.7,5.1,30.842391304347824
2001-04-01,5.4,3.9,14.2,97.20187,5.27,121.4,186.3,120.7,122.0,120.5,109.1,114.0,77.4,76.0,87.7,94.8,86.7,76.0,64.1,60.76,65.56,67.37,75.81,52.87,46.91,1.6,-10.5,112.9,-2.4,0.2,24.1,100.2621,100.7886,95.15115,44068.21454884174,10516.271739130436,13313.966666666667,7720.857608695652,28258.7,3098.2000000000003,10852.833333333334,10716.666666666668,6977.943848140796,2483.322054550441,36.67334412057134,30.40215948920869,11.9,12.138853692304073,5113.149347826087,4077.6529347826086,1035.1251473236248,2421264.0,653.7556521739131,1097.5957555397463,1029.1303754252913,568.6433333333333,1091.1292391304346,56.29004731530189,90.24746355858538,27.44759182219796,366.9679347826087,909.4615217391305,252.17315217391305,88.20038797617445,12790.227173913043,3276.589207306949,13568.498804521807,84975.38369565218,61879.40326086956,142674.3130078719,7807.9030640902965,90022.6,56791.36666666667,153098.9439004227,176148.99782608694,2195.4962337622787,14099.933333333334,329234.75760869565,36290.86666666667,66807.47750083,39914.87608695653,3803.0,95167.7,1192.9425064668362,5631.827241591989,228965.65132581413,4100.872398381174,85090.93333333333,7125.532339991833,70823.4,66.22138872592704,74.82826844432907,66.96630434782608,69.73647674973134,72.19782608695652,71.92862407259616,84.77034857025774,71.74609831872176,75.5375,90.7891,97.5356,103.3736,4.1,40.4,4.8,3.98,4.76,5.14,7.2,8.07,150.9,75.187,1189.84,76.56509023808522,5.4,0.8876,3.7,4.5,30.8810274898603
2001-05-01,5.4,4.1,13.8,96.96845,5.42,125.6,193.7,125.1,130.1,124.4,111.5,112.9,87.9,90.5,97.0,111.4,95.0,86.9,71.4,61.31,66.16,68.12,76.57,53.17,46.81,-1.0,-11.6,110.8,-0.3,4.5,23.1,100.1264,100.6718,92.61564,44252.3052899028,10534.728260869564,13532.533333333333,7741.042391304348,28206.7,3069.1,11177.566666666666,10954.633333333333,7204.43415076817,2522.107895095804,36.6955479959256,29.74153482880265,11.98,12.417182673135732,5116.690652173913,4072.2170652173913,1045.975953347272,2438607.0,655.1643478260869,1091.1384102699315,1022.9307520664063,564.5066666666667,1102.7607608695653,56.272457083899,90.5464562121081,27.596763748233098,366.7820652173913,909.5984782608696,251.85684782608695,88.5134886230769,12936.672826086957,3283.0602706207815,14182.76651308703,85276.91630434783,62800.696739130435,143723.8958760987,8057.4511075254195,90650.2,57432.833333333336,155480.12562207566,175182.80217391305,2170.339763992904,13397.766666666666,329722.9423913044,36676.23333333333,67679.69502732696,40638.72391304348,3993.7,95883.2,1203.8124041818608,5714.681163783452,229971.54322919683,4381.78611396934,85262.96666666666,7135.421382337081,71693.3,66.53129359779165,75.21050175280972,66.93369565217392,69.71521923795028,72.00217391304348,71.96597417861564,85.74619711350272,71.42552430352335,75.7325,90.3555,97.1957,103.3943,4.0,40.4,4.21,3.78,4.93,5.39,7.29,8.07,151.9,75.385,1270.37,56.52851112217439,5.4,0.848,3.6,4.8,33.77358490566038
